ML1,ML2,ML3,banco
-0.06856862213815416,-0.02541555590105053,-0.03759559901934644,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG - SICREDI REGIÃO CENTRO RS/MG"
-0.10705142221106789,0.0311513392023392,0.12287515820286969,COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL
-0.09525655345058512,0.018136908624818985,0.03519440338232002,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.
-0.006233354714984248,-0.11121227971580772,-0.20936542797901875,YAMAHA MOTOR - PRUDENCIAL
-0.05552584891553512,-0.06839337277494861,0.003848036833279388,COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE
0.15219407254163955,-0.3466635874018798,-0.5163356782752032,DM FINANCEIRA CFI - PRUDENCIAL
0.02279989259482016,-0.11879230547974741,0.24316638723938888,RENDIMENTO - PRUDENCIAL
-0.07663081541324258,-0.017042537468854403,-0.00657358368480186,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO - SICREDI OURO BRANCO RS/MG"
-0.016925814336448047,-0.10583423639826386,-0.27009424828567313,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO"
-0.09523025920256084,0.01781571318688654,0.294068649071341,AF DESENVOLVE SP S.A. - PRUDENCIAL
-0.057541076895168235,-0.0414238509007805,-0.10635620467161604,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP"
0.04437183338549436,-0.16747856848404066,0.055992337990443244,GENIAL - PRUDENCIAL
-0.03671691056550849,-0.0665140472680045,-0.2084972758956156,NOVO BCO CONTINENTAL S.A. - BM - PRUDENCIAL
-0.06939176065369347,-0.031002315616489456,-0.034043237929235914,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ESSÊNCIA RS/ES - SICREDI ESSÊNCIA"
-0.07597840600313069,-0.021760110716716997,-0.013268778116034906,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL RIOGRANDENSE - SICREDI ORIGENS RS"
-0.0766990670256699,-0.01740407377887542,0.0052284386371079725,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE IBIRAIARAS - SICREDI IBIRAIARAS RS/MG"
-0.09249478606790006,0.0030463515508010524,0.07884964550821967,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG"
-0.0691907269558323,-0.03116174039092021,-0.01858712023017254,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP
-0.045599059479074014,-0.056718513541356645,-0.13914959331625032,BCO LUSO BRASILEIRO S.A. - PRUDENCIAL
-0.08661369925295417,-0.0018083765757332376,0.01223462243700658,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC"
-0.07230780611621596,-0.029537331456641357,-0.020616367963049297,COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL
-0.09269756404566042,0.011900749484757028,0.3343850038533822,AF PARANÁ - PRUDENCIAL
-0.09151126967450812,0.0017096763309958564,0.04752547206128354,COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS
-0.07630876357835727,-0.01802113457939038,0.008621619450362493,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO
-0.04922828000386159,-0.03633871749401481,-0.07966866196062863,BMW - PRUDENCIAL
-0.05203713331900854,-0.05901153845862882,-0.05983483054293873,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO REGIÕES DAS CULTURAS - SICREDI DAS CULTURAS RS/MG"
-0.07204434932317966,-0.027501675555289814,-0.014812698199507238,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO IGUAÇU - SICREDI IGUAÇU PR/SC E REGIÃO METROPOLITANA DE CAMPINAS/SP"
