PC1,PC2,banco
0.15463433868371088,-0.10599474608007382,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL
0.07834772610044127,0.02815188422613359,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA, CIRCUITO DO OURO, GRANDE BH E RIO GRANDE DO NORTE LTDA. -  SICOOB CREDIMEPI"
0.22286527393789793,0.2940795181602734,RANDON - PRUDENCIAL
0.017768108739250867,-0.30762698210802364,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO RAÍZES - SICREDI RAÍZES RS/SC/MG"
0.10333612658855065,0.10255151244912526,COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI
0.19843329562349335,0.4913012104385979,BMP SCMEPP LTDA - PRUDENCIAL
0.10348915839467018,-0.41154009978399525,COOPERATIVA DE CRÉDITO ROTA DAS TERRAS - SICREDI ROTA DAS TERRAS RS/MG
0.07821261333146994,-0.1307316803765878,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE
0.0671821448537076,-0.49585261773803097,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ - SICREDI BOTUCARAÍ RS/MG"
0.08606869765501561,-0.39768468778298405,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP/RJ"
0.052662075752780424,-1.252378615624961,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DO SUL DE MATO GROSSO, AMAPÁ E PARÁ - SICREDI INTEGRAÇÃO MT/AP/PA"
0.24202838377506408,0.27398472281307706,OURIBANK - PRUDENCIAL
0.09409237352598902,-0.0666854203495057,COOPERATIVA DE CRÉDITO CREDIVAR LTDA. - SICOOB CREDIVAR
0.023542690435976298,-1.2939278479003247,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DE MATO GROSSO, ACRE E AMAZONAS - SICREDI BIOMAS"
0.26431704237042924,0.41862086656470915,BCO KDB BRASIL S.A. - PRUDENCIAL
0.11157830996202872,-0.5149664873448963,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PROGRESSO - SICREDI PROGRESSO PR/SP"
0.2116338507648227,0.2608026030481262,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL
0.028810567642079125,-0.8103058562268883,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SUL - SICREDI CENTRO SUL PR/SC/RJ"
0.23907633984169738,-0.20976411193155617,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO SICOOB UNIMAIS RIO LTDA.
0.11272938810327134,-0.16009720877614747,COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS
0.11609569040004804,-0.21914338123151944,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO"
-0.029295182011130523,-1.5197058035438635,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PARANAPANEMA SERRANA PR/SP/RJ - SICREDI PARANAPANEMA SERRANA PR/SP/RJ"
0.09491911894949534,-0.4692061210806378,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CONFIANÇA - SICREDI CONFIANÇA"
0.1988556882181265,0.15046354374719678,COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO PANTANAL DO MATO GROSSO DO SUL - SICREDI PANTANAL MS
0.16206975454134787,-0.12633047440783823,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS"
0.12322014093954944,0.07913071615712673,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC
0.06223367503502327,-0.4080553375315842,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO RIO PARANÁ - SICREDI RIO PARANÁ"
0.028918450008774202,-0.03468958827144809,COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA
0.08195416874633064,0.20216958431261012,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS E EMPREGADOS DOS TRANSPORTES E CORREIOS DO SUL DO BRASIL - TRANSPOCRED
0.12058356951298368,-0.2174908961169729,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMINHO DAS ÁGUAS RS - SICREDI CAMINHO DAS ÁGUAS RS"
0.001911247217254182,-0.501758219943295,COOPERATIVA DE CRÉDITO SICOOB VALE SUL
0.09292946205611627,-0.46740966984359966,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE SUL - SICREDI NORTE SUL"
0.09950682480023762,-0.3091249149659827,COOPERATIVA DE CRÉDITO GERAÇÕES - SICREDI GERAÇÕES RS/MG
0.0781036794641381,-0.9626801009761,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL MINAS DO RIO GRANDE DO SUL E MINAS GERAIS - SICREDI SUL MINAS RS/MG."
0.12570318866205515,-0.219350665741898,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU
0.24287726776992624,-0.00474982373592492,BCO GUANABARA S.A. - PRUDENCIAL
0.17052902212731252,0.0733810179378502,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE -  SICOOB - CREDIAL SC/RS
0.03697071875042103,-0.2844976533895408,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS
