PC1,PC2,PC3,banco
-0.13495001037217233,0.4048846170763311,0.3413122358637737,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE
-0.14339516187555829,0.4917499617956755,0.3396651744751349,COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS
-2.0261356104665325,-1.4765689344472117,-2.9316833454667734,BCO DO EST. DO PA S.A. - PRUDENCIAL
-0.5372436903131769,0.5396999965913555,0.3019271635771197,CREDIT AGRICOLE - PRUDENCIAL
-1.092831483316159,-0.3369854613346571,0.32061714849331846,VOLVO - PRUDENCIAL
-0.6895849736790994,0.5069730542509169,0.30583818719270756,SCANIA - PRUDENCIAL
-0.8225096539438678,-1.395269576832154,-1.619652172908506,COOPERATIVA DE CREDITO CREDICITRUS
-0.3583068111023892,0.5294298016636146,0.18744410244055004,SCOTIABANK BRASIL - PRUDENCIAL
-0.8593249968057914,0.39118273926052904,0.30765579612182237,GM - PRUDENCIAL
-1.1140402289870277,0.5902654228928488,0.2949427309906402,HONDA - PRUDENCIAL
-0.2157149762447271,0.5192813888047852,0.2995151146336709,MIZUHO - PRUDENCIAL
-0.3147460083822848,0.4943985166430193,0.31276897920083757,DEUTSCHE - PRUDENCIAL
-0.9941829117800706,-1.0859487181247927,-1.42472042914819,COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI
-0.4523094508655372,0.3300615787329489,0.2871935577118535,BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL
0.0014839697286862874,0.4068593936850219,0.28431241125589884,BR PARTNERS - PRUDENCIAL
-0.020178241331099658,0.5069086856310191,0.3290714804161282,COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO
-0.07428842318026202,-0.7978986364879223,0.346442071117328,COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER
-0.2806830528538837,0.5186048392203294,0.2940546738773551,BANCO HSBC - PRUDENCIAL
0.027021250046273308,-0.13632920125396297,0.2838644284529852,COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL
-0.17960540199275715,0.5178410185223564,0.2764072596726381,BCO MUFG BRASIL S.A. - PRUDENCIAL
-0.6616321170633562,-0.8982596696259475,-0.8706793954673893,BCO DO EST. DE SE S.A. - PRUDENCIAL
-0.4041003491221683,0.5120055652261233,0.29396914132304885,BCO DES. DE MG S.A. - PRUDENCIAL
-0.3887987523416847,-0.43841445731319145,-0.3230461675243034,SICOOB COCRED COOPERATIVA DE CRÉDITO
